country_name,export,import,total,trade_balance,country_code
MALTA,3956.26,265.69,4221.95,0.87,
MARSHALL ISLAND,118.27,28.7,146.97,0.61,
MARTINIQUE,93.6,0.68,94.28,0.99,
MAURITANIA,512.61,109.39,622,0.65,MRT
MAURITIUS,10748.15,209.99,10958.14,0.96,
MEXICO,20360.61,26777.66,47138.27,-0.14,MEX
MOLDOVA,78.03,29.62,107.65,0.45,MDA
MONGOLIA,164.98,67.69,232.67,0.42,MNG
MONTENEGRO,186.95,1.28,188.23,0.99,MNE
MOROCCO,3470.27,10082.1,13552.37,-0.49,MAR
MOZAMBIQUE,9405.11,3056.65,12461.76,0.51,MOZ
MYANMAR,6544.27,11348.52,17892.79,-0.27,MMR
NAMIBIA,859.64,271.77,1131.41,0.52,NAM
NAURU RP,4.56,104.77,109.33,-0.92,
NEPAL,35210.36,5078.8,40289.16,0.75,NPL
NETHERLAND,70514.46,23104.08,93618.54,0.51,NLD
NEW CALEDONIA,139.25,192.07,331.32,-0.16,NCL
NEW ZEALAND,2756.06,5968.8,8724.86,-0.37,NZL
NICARAGUA,559.54,19.11,578.65,0.93,NIC
NIGER,701.1,175.24,876.34,0.6,NER
NIGERIA,22067,108710.5,130777.5,-0.66,NGA
NORWAY,3008.96,8525.55,11534.51,-0.48,NOR
OMAN,19364.28,25995.68,45359.96,-0.15,OMN
PAKISTAN,18706.57,4226.15,22932.72,0.63,PAK
PANAMA,1946.03,1350.44,3296.47,0.18,PAN
PAPUA N GNA,338.66,1670.67,2009.33,-0.66,PNG
PARAGUAY,854.26,558.68,1412.94,0.21,PRY
PERU,5802.18,7091.7,12893.88,-0.1,PER
PHILIPPINES,11916.58,4557.82,16474.4,0.45,PHL
POLAND,9013.32,5812.01,14825.33,0.22,POL
PORTUGAL,5664.78,1813.59,7478.37,0.51,PRT
PUERTO RICO,916.62,331.9,1248.52,0.47,PRI
QATAR,8262.96,98966.58,107229.54,-0.85,QAT
ROMANIA,3422.59,3280.64,6703.23,0.02,ROU
RUSSIA,17717.81,47344.78,65062.59,-0.46,RUS
RWANDA,735.54,12.52,748.06,0.97,RWA
SAHARWI A.DM RP,17.54,0,17.54,1,ESH
SAUDI ARABIA,69464.17,250146.03,319610.2,-0.57,SAU
SENEGAL,4247.55,2249.91,6497.46,0.31,SEN
SERBIA,226.24,100.58,326.82,0.38,SRB
SEYCHELLES,414.83,22.19,437.02,0.9,
SIERRA LEONE,870.41,111.6,982.01,0.77,SLE
SINGAPORE,106143.68,72870.63,179014.31,0.19,
SLOVAKIA,1009.46,744.01,1753.47,0.15,SVK
SLOVENIA,2299.71,1084.6,3384.31,0.36,SVN
SOLOMON ISLANDS,19.12,247.07,266.19,-0.86,SLB
SOMALIA,2514.06,157.34,2671.4,0.88,SOM
SOUTH AFRICA,39123.23,69376.32,108499.55,-0.28,ZAF
SOUTH SUDAN,6.81,136.98,143.79,-0.91,SDS
SPAIN,29685.59,16357.61,46043.2,0.29,ESP
SRI LANKA,41418.53,6053.78,47472.31,0.74,LKA
SUDAN,7005.16,3914.75,10919.91,0.28,SDN
SURINAME,164.75,427.34,592.09,-0.44,SUR
SWAZILAND,413.67,534.38,948.05,-0.13,SWZ
SWEDEN,6819.06,16321.32,23140.38,-0.41,SWE
SWITZERLAND,10164.44,215209.27,225373.71,-0.91,CHE
SYRIA,2831.93,800.32,3632.25,0.56,SYR
TAIWAN,22008.81,36723.62,58732.43,-0.25,TWN
TAJIKISTAN,281.61,166.4,448.01,0.26,TJK
TANZANIA,18154.04,6464.23,24618.27,0.47,TZA
THAILAND,29588.05,49808.59,79396.64,-0.25,THA
TIMOR LESTE,572.17,25.56,597.73,0.91,TLS
TOGO,3554.86,1503.51,5058.37,0.41,TGO
TRINIDAD,1241.07,825.97,2067.04,0.2,TTO
TUNISIA,2576.34,2214.71,4791.05,0.08,TUN
TURKEY,36864.34,13324.67,50189.01,0.47,TUR
TURKMENISTAN,563.4,181.18,744.58,0.51,TKM
UNITED ARAB EMIRATES,307668.79,269791.84,577460.63,0.07,ARE
UNITED KINGDOM,83503.96,53883.78,137387.74,0.22,GBR
UNITED STATES,348887.98,219262.07,568150.05,0.23,USA
UGANDA,4297.34,333.43,4630.77,0.86,UGA
UKRAINE,3943.8,20303.08,24246.88,-0.67,UKR
URUGUAY,1351.85,200.8,1552.65,0.74,URY
UZBEKISTAN,994.62,471.04,1465.66,0.36,UZB
VANUATU,26.7,12.66,39.36,0.36,VUT
VENEZUELA,1754.98,75847.58,77602.56,-0.95,VEN
VIETNAM,45479.79,22529.29,68009.08,0.34,VNM
YEMEN,7944.15,7491.25,15435.4,0.03,YEM
ZAMBIA,2340.4,3677.11,6017.51,-0.22,ZMB
ZIMBABWE,1362.28,276.21,1638.49,0.66,ZWE
