commodity,year,export,import,total,rank
"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2018,6849.23,90.49,6939.72,18
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2009,2371.17,241.02,2612.19,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2010,2463.86,199.27,2663.13,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2011,3101.08,267.55,3368.63,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2012,3952.28,390.34000000000003,4342.62,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2013,4038.75,412.29,4451.04,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2014,4456.96,374.59999999999997,4831.56,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2015,4645.25,495.71999999999997,5140.97,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2016,4586.14,549.92,5136.06,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2017,4704.9800000000005,430.8,5135.78,17
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2018,5012.59,460.65999999999997,5473.25,17
"SHIPS, BOATS AND FLOATING STRUCTURES.",2009,3715.59,4569.76,8285.35,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2010,2554.27,3212.86,5767.13,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2011,4832.18,3541.63,8373.81,16
"SHIPS, BOATS AND FLOATING STRUCTURES.",2012,8095.69,4362.07,12457.76,16
